category,name,brand,price,stock_quantity,attributes,image_url,description
GPU,GPU Model 674 Rev-72,Intel,541.06,74,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/gpu_model_674_rev-72.jpg,A high-capacity HDD ideal for storing large amounts of data.
RAM,RAM Model 965 Rev-9,Intel,968.52,18,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ram_model_965_rev-9.jpg,Fast and efficient RAM for smooth multitasking and gaming.
Motherboard,Motherboard Model 596 Rev-82,Gigabyte,890.5,86,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/motherboard_model_596_rev-82.jpg,A high-capacity HDD ideal for storing large amounts of data.
HDD,HDD Model 183 Rev-89,Patriot,267.85,89,{'socket': 'LGA1700'},https://example.com/hdd_model_183_rev-89.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
Case,Case Model 245 Rev-25,Seagate,67.4,12,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/case_model_245_rev-25.jpg,A reliable motherboard designed for overclocking and heavy usage.
RAM,RAM Model 413 Rev-14,Seagate,280.7,10,{'socket': 'LGA1700'},https://example.com/ram_model_413_rev-14.jpg,A high-performance processor suitable for gaming and content creation.
SSD,SSD Model 214 Rev-77,Corsair,662.45,23,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ssd_model_214_rev-77.jpg,Fast and efficient RAM for smooth multitasking and gaming.
Motherboard,Motherboard Model 692 Rev-7,Corsair,745.97,23,{'speed': '3200MHz'},https://example.com/motherboard_model_692_rev-7.jpg,A high-capacity HDD ideal for storing large amounts of data.
RAM,RAM Model 457 Rev-28,Seagate,307.7,20,{'socket': 'LGA1700'},https://example.com/ram_model_457_rev-28.jpg,Fast and efficient RAM for smooth multitasking and gaming.
GPU,GPU Model 870 Rev-33,Intel,77.2,99,{'speed': '3200MHz'},https://example.com/gpu_model_870_rev-33.jpg,An SSD offering fast read/write speeds and durable performance.
RAM,RAM Model 529 Rev-79,AMD,126.97,36,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ram_model_529_rev-79.jpg,A high-capacity HDD ideal for storing large amounts of data.
PSU,PSU Model 951 Rev-48,Corsair,574.44,43,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/psu_model_951_rev-48.jpg,A high-capacity HDD ideal for storing large amounts of data.
Case,Case Model 478 Rev-89,AMD,671.02,72,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/case_model_478_rev-89.jpg,A high-capacity HDD ideal for storing large amounts of data.
RAM,RAM Model 722 Rev-3,Corsair,731.86,85,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ram_model_722_rev-3.jpg,A high-capacity HDD ideal for storing large amounts of data.
HDD,HDD Model 949 Rev-69,Gigabyte,892.69,63,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/hdd_model_949_rev-69.jpg,An SSD offering fast read/write speeds and durable performance.
GPU,GPU Model 408 Rev-68,Seagate,303.59,34,{'speed': '3200MHz'},https://example.com/gpu_model_408_rev-68.jpg,Fast and efficient RAM for smooth multitasking and gaming.
RAM,RAM Model 918 Rev-64,Corsair,486.85,19,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ram_model_918_rev-64.jpg,Fast and efficient RAM for smooth multitasking and gaming.
Motherboard,Motherboard Model 750 Rev-91,Intel,429.74,100,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/motherboard_model_750_rev-91.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
RAM,RAM Model 506 Rev-5,Corsair,164.28,43,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ram_model_506_rev-5.jpg,A reliable motherboard designed for overclocking and heavy usage.
SSD,SSD Model 265 Rev-47,Seagate,534.2,30,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ssd_model_265_rev-47.jpg,An SSD offering fast read/write speeds and durable performance.
Case,Case Model 976 Rev-75,Seagate,909.47,28,{'speed': '3200MHz'},https://example.com/case_model_976_rev-75.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
RAM,RAM Model 252 Rev-11,Seagate,612.67,27,{'socket': 'LGA1700'},https://example.com/ram_model_252_rev-11.jpg,Fast and efficient RAM for smooth multitasking and gaming.
HDD,HDD Model 116 Rev-91,Seagate,742.55,79,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/hdd_model_116_rev-91.jpg,An SSD offering fast read/write speeds and durable performance.
GPU,GPU Model 641 Rev-6,Patriot,113.66,21,{'socket': 'LGA1700'},https://example.com/gpu_model_641_rev-6.jpg,A reliable motherboard designed for overclocking and heavy usage.
SSD,SSD Model 987 Rev-72,Seagate,373.61,63,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/ssd_model_987_rev-72.jpg,An SSD offering fast read/write speeds and durable performance.
Motherboard,Motherboard Model 897 Rev-31,Seagate,409.55,36,{'socket': 'LGA1700'},https://example.com/motherboard_model_897_rev-31.jpg,A high-capacity HDD ideal for storing large amounts of data.
Motherboard,Motherboard Model 535 Rev-63,Gigabyte,722.11,24,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/motherboard_model_535_rev-63.jpg,A high-performance processor suitable for gaming and content creation.
HDD,HDD Model 177 Rev-29,Kingston,891.0,33,{'speed': '3200MHz'},https://example.com/hdd_model_177_rev-29.jpg,An SSD offering fast read/write speeds and durable performance.
SSD,SSD Model 746 Rev-27,Gigabyte,288.64,40,{'speed': '3200MHz'},https://example.com/ssd_model_746_rev-27.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
HDD,HDD Model 790 Rev-80,Kingston,486.49,80,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/hdd_model_790_rev-80.jpg,A reliable motherboard designed for overclocking and heavy usage.
SSD,SSD Model 491 Rev-56,Kingston,857.98,44,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/ssd_model_491_rev-56.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
SSD,SSD Model 207 Rev-56,AMD,142.35,73,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ssd_model_207_rev-56.jpg,A high-capacity HDD ideal for storing large amounts of data.
RAM,RAM Model 495 Rev-25,AMD,808.61,20,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ram_model_495_rev-25.jpg,A reliable motherboard designed for overclocking and heavy usage.
CPU,CPU Model 629 Rev-25,Patriot,211.52,90,{'socket': 'LGA1700'},https://example.com/cpu_model_629_rev-25.jpg,Fast and efficient RAM for smooth multitasking and gaming.
Case,Case Model 673 Rev-64,NVIDIA,752.17,10,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/case_model_673_rev-64.jpg,A reliable motherboard designed for overclocking and heavy usage.
Case,Case Model 255 Rev-95,Intel,596.27,76,{'socket': 'LGA1700'},https://example.com/case_model_255_rev-95.jpg,Fast and efficient RAM for smooth multitasking and gaming.
HDD,HDD Model 864 Rev-20,NVIDIA,620.36,50,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/hdd_model_864_rev-20.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
PSU,PSU Model 158 Rev-43,Seagate,87.33,14,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/psu_model_158_rev-43.jpg,A reliable motherboard designed for overclocking and heavy usage.
GPU,GPU Model 498 Rev-17,Kingston,149.52,83,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/gpu_model_498_rev-17.jpg,A high-capacity HDD ideal for storing large amounts of data.
SSD,SSD Model 831 Rev-51,AMD,260.82,56,{'speed': '3200MHz'},https://example.com/ssd_model_831_rev-51.jpg,A reliable motherboard designed for overclocking and heavy usage.
PSU,PSU Model 216 Rev-57,Gigabyte,796.71,46,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/psu_model_216_rev-57.jpg,A reliable motherboard designed for overclocking and heavy usage.
Motherboard,Motherboard Model 749 Rev-8,Corsair,762.61,33,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/motherboard_model_749_rev-8.jpg,An SSD offering fast read/write speeds and durable performance.
GPU,GPU Model 315 Rev-18,AMD,257.1,62,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/gpu_model_315_rev-18.jpg,An SSD offering fast read/write speeds and durable performance.
Case,Case Model 498 Rev-67,Seagate,109.99,29,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/case_model_498_rev-67.jpg,A high-capacity HDD ideal for storing large amounts of data.
RAM,RAM Model 655 Rev-68,AMD,651.99,31,{'socket': 'LGA1700'},https://example.com/ram_model_655_rev-68.jpg,A high-performance processor suitable for gaming and content creation.
RAM,RAM Model 479 Rev-38,Patriot,159.34,13,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ram_model_479_rev-38.jpg,An SSD offering fast read/write speeds and durable performance.
Motherboard,Motherboard Model 200 Rev-89,Corsair,677.4,20,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/motherboard_model_200_rev-89.jpg,A high-capacity HDD ideal for storing large amounts of data.
RAM,RAM Model 632 Rev-84,Corsair,995.92,28,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ram_model_632_rev-84.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
HDD,HDD Model 970 Rev-66,Gigabyte,825.5,70,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/hdd_model_970_rev-66.jpg,An SSD offering fast read/write speeds and durable performance.
SSD,SSD Model 190 Rev-31,Gigabyte,612.67,41,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/ssd_model_190_rev-31.jpg,A reliable motherboard designed for overclocking and heavy usage.
GPU,GPU Model 500 Rev-43,Gigabyte,362.08,60,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/gpu_model_500_rev-43.jpg,Fast and efficient RAM for smooth multitasking and gaming.
RAM,RAM Model 800 Rev-27,Corsair,234.71,41,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ram_model_800_rev-27.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
SSD,SSD Model 962 Rev-30,Gigabyte,199.38,67,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/ssd_model_962_rev-30.jpg,A high-capacity HDD ideal for storing large amounts of data.
CPU,CPU Model 139 Rev-26,Intel,394.7,85,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/cpu_model_139_rev-26.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
Motherboard,Motherboard Model 802 Rev-21,Seagate,155.32,85,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/motherboard_model_802_rev-21.jpg,A reliable motherboard designed for overclocking and heavy usage.
SSD,SSD Model 793 Rev-41,Kingston,285.47,41,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/ssd_model_793_rev-41.jpg,A reliable motherboard designed for overclocking and heavy usage.
HDD,HDD Model 316 Rev-39,Corsair,656.94,91,{'socket': 'LGA1700'},https://example.com/hdd_model_316_rev-39.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
RAM,RAM Model 505 Rev-93,AMD,914.93,31,{'socket': 'LGA1700'},https://example.com/ram_model_505_rev-93.jpg,A high-performance processor suitable for gaming and content creation.
PSU,PSU Model 542 Rev-94,Patriot,208.94,55,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/psu_model_542_rev-94.jpg,A reliable motherboard designed for overclocking and heavy usage.
Motherboard,Motherboard Model 424 Rev-96,Intel,605.99,74,{'socket': 'LGA1700'},https://example.com/motherboard_model_424_rev-96.jpg,Fast and efficient RAM for smooth multitasking and gaming.
CPU,CPU Model 341 Rev-11,Seagate,577.72,76,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/cpu_model_341_rev-11.jpg,A high-capacity HDD ideal for storing large amounts of data.
RAM,RAM Model 573 Rev-82,Kingston,858.76,73,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ram_model_573_rev-82.jpg,A high-capacity HDD ideal for storing large amounts of data.
SSD,SSD Model 282 Rev-32,Kingston,972.65,80,{'speed': '3200MHz'},https://example.com/ssd_model_282_rev-32.jpg,A high-capacity HDD ideal for storing large amounts of data.
GPU,GPU Model 307 Rev-39,AMD,215.79,29,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/gpu_model_307_rev-39.jpg,A high-performance processor suitable for gaming and content creation.
GPU,GPU Model 704 Rev-54,Corsair,583.42,45,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/gpu_model_704_rev-54.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
CPU,CPU Model 893 Rev-60,Intel,694.88,76,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/cpu_model_893_rev-60.jpg,A high-performance processor suitable for gaming and content creation.
Motherboard,Motherboard Model 696 Rev-48,Gigabyte,206.83,25,{'speed': '3200MHz'},https://example.com/motherboard_model_696_rev-48.jpg,A reliable motherboard designed for overclocking and heavy usage.
Case,Case Model 763 Rev-27,Seagate,558.28,58,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/case_model_763_rev-27.jpg,A high-capacity HDD ideal for storing large amounts of data.
RAM,RAM Model 313 Rev-33,AMD,410.95,15,{'speed': '3200MHz'},https://example.com/ram_model_313_rev-33.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
Case,Case Model 156 Rev-34,NVIDIA,597.18,43,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/case_model_156_rev-34.jpg,An SSD offering fast read/write speeds and durable performance.
PSU,PSU Model 418 Rev-10,Kingston,266.14,23,{'speed': '3200MHz'},https://example.com/psu_model_418_rev-10.jpg,A high-capacity HDD ideal for storing large amounts of data.
Motherboard,Motherboard Model 652 Rev-67,Gigabyte,553.92,59,{'socket': 'LGA1700'},https://example.com/motherboard_model_652_rev-67.jpg,A high-capacity HDD ideal for storing large amounts of data.
CPU,CPU Model 695 Rev-27,Intel,768.55,50,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/cpu_model_695_rev-27.jpg,An SSD offering fast read/write speeds and durable performance.
HDD,HDD Model 362 Rev-81,Intel,247.28,82,{'socket': 'LGA1700'},https://example.com/hdd_model_362_rev-81.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
PSU,PSU Model 360 Rev-62,Seagate,725.11,85,{'socket': 'LGA1700'},https://example.com/psu_model_360_rev-62.jpg,A high-capacity HDD ideal for storing large amounts of data.
Case,Case Model 441 Rev-61,Intel,940.51,93,{'speed': '3200MHz'},https://example.com/case_model_441_rev-61.jpg,A high-performance processor suitable for gaming and content creation.
GPU,GPU Model 529 Rev-12,Kingston,859.77,88,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/gpu_model_529_rev-12.jpg,An SSD offering fast read/write speeds and durable performance.
GPU,GPU Model 710 Rev-55,Kingston,950.45,92,{'socket': 'LGA1700'},https://example.com/gpu_model_710_rev-55.jpg,An SSD offering fast read/write speeds and durable performance.
HDD,HDD Model 776 Rev-85,Patriot,988.06,40,{'speed': '3200MHz'},https://example.com/hdd_model_776_rev-85.jpg,An SSD offering fast read/write speeds and durable performance.
Motherboard,Motherboard Model 594 Rev-62,Corsair,822.68,26,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/motherboard_model_594_rev-62.jpg,A high-performance processor suitable for gaming and content creation.
CPU,CPU Model 703 Rev-13,Corsair,410.23,85,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/cpu_model_703_rev-13.jpg,An SSD offering fast read/write speeds and durable performance.
Motherboard,Motherboard Model 548 Rev-38,Kingston,278.76,35,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/motherboard_model_548_rev-38.jpg,Fast and efficient RAM for smooth multitasking and gaming.
RAM,RAM Model 319 Rev-35,NVIDIA,348.3,34,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/ram_model_319_rev-35.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
CPU,CPU Model 960 Rev-47,Patriot,868.26,66,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/cpu_model_960_rev-47.jpg,A high-capacity HDD ideal for storing large amounts of data.
Case,Case Model 364 Rev-31,Corsair,99.21,36,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/case_model_364_rev-31.jpg,A reliable motherboard designed for overclocking and heavy usage.
GPU,GPU Model 253 Rev-39,Gigabyte,101.93,96,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/gpu_model_253_rev-39.jpg,A high-performance processor suitable for gaming and content creation.
RAM,RAM Model 668 Rev-65,Corsair,333.25,66,{'speed': '3200MHz'},https://example.com/ram_model_668_rev-65.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
SSD,SSD Model 387 Rev-28,Seagate,394.8,34,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/ssd_model_387_rev-28.jpg,A high-performance processor suitable for gaming and content creation.
Case,Case Model 148 Rev-17,NVIDIA,484.37,44,{'socket': 'LGA1700'},https://example.com/case_model_148_rev-17.jpg,A reliable motherboard designed for overclocking and heavy usage.
GPU,GPU Model 643 Rev-37,Patriot,592.43,40,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/gpu_model_643_rev-37.jpg,A reliable motherboard designed for overclocking and heavy usage.
PSU,PSU Model 674 Rev-73,Kingston,294.42,33,{'speed': '3200MHz'},https://example.com/psu_model_674_rev-73.jpg,An SSD offering fast read/write speeds and durable performance.
RAM,RAM Model 362 Rev-31,AMD,327.85,29,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ram_model_362_rev-31.jpg,A high-performance processor suitable for gaming and content creation.
SSD,SSD Model 622 Rev-97,Gigabyte,597.82,92,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/ssd_model_622_rev-97.jpg,A high-capacity HDD ideal for storing large amounts of data.
Motherboard,Motherboard Model 493 Rev-92,Intel,419.61,82,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/motherboard_model_493_rev-92.jpg,Fast and efficient RAM for smooth multitasking and gaming.
GPU,GPU Model 829 Rev-91,Patriot,251.44,100,{'speed': '3200MHz'},https://example.com/gpu_model_829_rev-91.jpg,A high-capacity HDD ideal for storing large amounts of data.
Motherboard,Motherboard Model 807 Rev-25,Seagate,712.74,11,{'speed': '3200MHz'},https://example.com/motherboard_model_807_rev-25.jpg,A high-performance processor suitable for gaming and content creation.
HDD,HDD Model 589 Rev-38,Corsair,275.46,30,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/hdd_model_589_rev-38.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
PSU,PSU Model 824 Rev-38,NVIDIA,740.53,68,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/psu_model_824_rev-38.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
SSD,SSD Model 944 Rev-50,Gigabyte,779.24,23,{'speed': '3200MHz'},https://example.com/ssd_model_944_rev-50.jpg,An SSD offering fast read/write speeds and durable performance.
RAM,RAM Model 215 Rev-82,AMD,156.72,13,{'socket': 'LGA1700'},https://example.com/ram_model_215_rev-82.jpg,A reliable motherboard designed for overclocking and heavy usage.
PSU,PSU Model 839 Rev-31,Seagate,96.79,89,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/psu_model_839_rev-31.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
PSU,PSU Model 421 Rev-75,Kingston,922.09,73,{'speed': '3200MHz'},https://example.com/psu_model_421_rev-75.jpg,An SSD offering fast read/write speeds and durable performance.
SSD,SSD Model 972 Rev-57,Kingston,891.9,22,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ssd_model_972_rev-57.jpg,A reliable motherboard designed for overclocking and heavy usage.
SSD,SSD Model 795 Rev-35,Corsair,852.04,57,{'speed': '3200MHz'},https://example.com/ssd_model_795_rev-35.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
HDD,HDD Model 978 Rev-85,Intel,148.25,60,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/hdd_model_978_rev-85.jpg,A high-performance processor suitable for gaming and content creation.
GPU,GPU Model 332 Rev-82,NVIDIA,592.27,86,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/gpu_model_332_rev-82.jpg,A high-performance processor suitable for gaming and content creation.
RAM,RAM Model 111 Rev-34,Corsair,699.71,65,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ram_model_111_rev-34.jpg,A high-performance processor suitable for gaming and content creation.
GPU,GPU Model 511 Rev-80,AMD,382.56,47,{'socket': 'LGA1700'},https://example.com/gpu_model_511_rev-80.jpg,An SSD offering fast read/write speeds and durable performance.
Motherboard,Motherboard Model 262 Rev-32,Kingston,768.17,78,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/motherboard_model_262_rev-32.jpg,A high-performance processor suitable for gaming and content creation.
SSD,SSD Model 608 Rev-4,Intel,945.13,45,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/ssd_model_608_rev-4.jpg,A reliable motherboard designed for overclocking and heavy usage.
SSD,SSD Model 181 Rev-14,Patriot,901.33,16,{'speed': '3200MHz'},https://example.com/ssd_model_181_rev-14.jpg,A reliable motherboard designed for overclocking and heavy usage.
PSU,PSU Model 320 Rev-76,AMD,752.23,63,{'socket': 'LGA1700'},https://example.com/psu_model_320_rev-76.jpg,Fast and efficient RAM for smooth multitasking and gaming.
Case,Case Model 538 Rev-47,Kingston,262.43,56,{'socket': 'LGA1700'},https://example.com/case_model_538_rev-47.jpg,A reliable motherboard designed for overclocking and heavy usage.
RAM,RAM Model 777 Rev-97,NVIDIA,604.52,75,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ram_model_777_rev-97.jpg,An SSD offering fast read/write speeds and durable performance.
PSU,PSU Model 109 Rev-10,NVIDIA,577.55,59,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/psu_model_109_rev-10.jpg,A high-capacity HDD ideal for storing large amounts of data.
Motherboard,Motherboard Model 844 Rev-53,Gigabyte,830.13,67,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/motherboard_model_844_rev-53.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
CPU,CPU Model 431 Rev-49,Corsair,180.0,71,{'socket': 'LGA1700'},https://example.com/cpu_model_431_rev-49.jpg,A high-capacity HDD ideal for storing large amounts of data.
Motherboard,Motherboard Model 590 Rev-58,Seagate,803.98,97,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/motherboard_model_590_rev-58.jpg,Fast and efficient RAM for smooth multitasking and gaming.
Case,Case Model 968 Rev-83,Seagate,806.86,11,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/case_model_968_rev-83.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
GPU,GPU Model 227 Rev-50,Intel,378.89,30,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/gpu_model_227_rev-50.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
RAM,RAM Model 757 Rev-16,Seagate,627.48,43,{'speed': '3200MHz'},https://example.com/ram_model_757_rev-16.jpg,An SSD offering fast read/write speeds and durable performance.
HDD,HDD Model 363 Rev-59,Intel,70.18,87,{'speed': '3200MHz'},https://example.com/hdd_model_363_rev-59.jpg,An SSD offering fast read/write speeds and durable performance.
HDD,HDD Model 674 Rev-19,Kingston,719.81,13,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/hdd_model_674_rev-19.jpg,A reliable motherboard designed for overclocking and heavy usage.
PSU,PSU Model 177 Rev-7,Intel,217.67,63,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/psu_model_177_rev-7.jpg,A reliable motherboard designed for overclocking and heavy usage.
Case,Case Model 611 Rev-14,Corsair,986.63,93,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/case_model_611_rev-14.jpg,An SSD offering fast read/write speeds and durable performance.
Motherboard,Motherboard Model 774 Rev-10,Kingston,497.16,94,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/motherboard_model_774_rev-10.jpg,A high-capacity HDD ideal for storing large amounts of data.
CPU,CPU Model 281 Rev-82,Patriot,963.77,94,{'speed': '3200MHz'},https://example.com/cpu_model_281_rev-82.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
Motherboard,Motherboard Model 640 Rev-89,AMD,486.9,53,{'speed': '3200MHz'},https://example.com/motherboard_model_640_rev-89.jpg,A reliable motherboard designed for overclocking and heavy usage.
Motherboard,Motherboard Model 486 Rev-4,Gigabyte,322.78,70,{'speed': '3200MHz'},https://example.com/motherboard_model_486_rev-4.jpg,Fast and efficient RAM for smooth multitasking and gaming.
CPU,CPU Model 455 Rev-29,AMD,807.86,100,{'socket': 'LGA1700'},https://example.com/cpu_model_455_rev-29.jpg,A high-capacity HDD ideal for storing large amounts of data.
Motherboard,Motherboard Model 612 Rev-76,AMD,295.5,42,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/motherboard_model_612_rev-76.jpg,Fast and efficient RAM for smooth multitasking and gaming.
SSD,SSD Model 159 Rev-85,Corsair,430.42,25,{'socket': 'LGA1700'},https://example.com/ssd_model_159_rev-85.jpg,Fast and efficient RAM for smooth multitasking and gaming.
Motherboard,Motherboard Model 255 Rev-5,NVIDIA,87.56,51,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/motherboard_model_255_rev-5.jpg,Fast and efficient RAM for smooth multitasking and gaming.
RAM,RAM Model 727 Rev-30,NVIDIA,372.59,13,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ram_model_727_rev-30.jpg,A high-performance processor suitable for gaming and content creation.
RAM,RAM Model 408 Rev-83,Patriot,316.9,39,{'speed': '3200MHz'},https://example.com/ram_model_408_rev-83.jpg,A high-performance processor suitable for gaming and content creation.
CPU,CPU Model 512 Rev-51,Corsair,477.86,82,{'speed': '3200MHz'},https://example.com/cpu_model_512_rev-51.jpg,A high-performance processor suitable for gaming and content creation.
Motherboard,Motherboard Model 711 Rev-98,Corsair,816.97,78,{'socket': 'LGA1700'},https://example.com/motherboard_model_711_rev-98.jpg,Fast and efficient RAM for smooth multitasking and gaming.
GPU,GPU Model 471 Rev-41,Kingston,951.16,77,{'socket': 'LGA1700'},https://example.com/gpu_model_471_rev-41.jpg,Fast and efficient RAM for smooth multitasking and gaming.
CPU,CPU Model 374 Rev-39,Seagate,338.86,100,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/cpu_model_374_rev-39.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
Motherboard,Motherboard Model 626 Rev-37,Gigabyte,101.25,26,{'socket': 'LGA1700'},https://example.com/motherboard_model_626_rev-37.jpg,A high-performance processor suitable for gaming and content creation.
PSU,PSU Model 244 Rev-42,Gigabyte,455.82,14,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/psu_model_244_rev-42.jpg,An SSD offering fast read/write speeds and durable performance.
RAM,RAM Model 450 Rev-90,Gigabyte,89.92,29,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ram_model_450_rev-90.jpg,An SSD offering fast read/write speeds and durable performance.
RAM,RAM Model 619 Rev-9,AMD,427.45,32,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/ram_model_619_rev-9.jpg,A high-capacity HDD ideal for storing large amounts of data.
